location,year,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Moldova,2022,2337269.0,47332.0,8994529.0,4408662.0,4287884.0,1503667.0
Moldova,2023,1794289.0,35843.0,6829792.0,3318390.0,3226406.0,1189259.0
Monaco,2021,4423.0,37.0,65140.0,28875.0,25667.0,10598.0
Mongolia,2021,6208895.0,17811.0,47817977.0,20388503.0,19460133.0,7969341.0
Mongolia,2022,62965440.0,152837.0,403057840.0,168010816.0,160690731.0,74356293.0
Montenegro,2021,1474331.0,21498.0,5642208.0,2546043.0,2437701.0,658464.0
Montenegro,2022,47975735.0,548860.0,136883722.0,59423728.0,57719473.0,19740521.0
Montserrat,2022,14977.0,108.0,79521.0,36366.0,33922.0,9233.0
Morocco,2022,27858674.0,371546.0,1260057079.0,573721004.0,538867064.0,149618697.0
Morocco,2023,13995650.0,179255.0,609163233.0,275201395.0,258716086.0,75659319.0
Mozambique,2022,230918.0,2229.0,29140427.0,18581293.0,18448526.0,990832.0
Mozambique,2023,463729.0,4468.0,58597962.0,37281493.0,36921524.0,2091120.0
Myanmar,2022,10407836.0,330352.0,922917445.0,500435067.0,398368350.0,24114028.0
Namibia,2022,1507233.0,36643.0,8220442.0,5043313.0,4375797.0,785062.0
Namibia,2023,854570.0,20440.0,4899220.0,3040783.0,2655790.0,906224.0
Nauru,2022,13065.0,3.0,72835.0,32161.0,25755.0,14919.0
Nauru,2023,5247.0,1.0,32157.0,13106.0,11346.0,7705.0
Nepal,2022,116696097.0,1422744.0,5167015257.0,2701717898.0,2342010405.0,467477000.0
Nepal,2023,3003182.0,36059.0,182168648.0,82984758.0,72474367.0,26709523.0
Netherlands,2021,32142705.0,249466.0,314831471.0,162012658.0,149870345.0,12590444.0
Netherlands,2022,253276171.0,771082.0,1203684226.0,446101844.0,417112201.0,316090329.0
New Caledonia,2022,1691239.0,7828.0,11611785.0,4743295.0,4546942.0,2321548.0
New Caledonia,2023,719486.0,2826.0,4312792.0,1730308.0,1662169.0,920315.0
New Zealand,2021,1293768.0,8381.0,964565565.0,544605831.0,412699199.0,7260535.0
New Zealand,2022,432458536.0,473349.0,4052618928.0,1556829187.0,1488102533.0,1007687208.0
New Zealand,2023,125290092.0,144944.0,706490470.0,253733038.0,244241413.0,208516019.0
Nigeria,2022,5205078.0,62946.0,1187334242.0,788382135.0,559070906.0,53373126.0
Nigeria,2023,532926.0,6310.0,220038398.0,155755689.0,130683137.0,20615287.0
North Macedonia,2021,5451465.0,191707.0,43161594.0,21749609.0,20723794.0,688146.0
North Macedonia,2022,5229362.0,149949.0,29652783.0,13654990.0,13390466.0,2522611.0
North Macedonia,2023,691460.0,19228.0,3725454.0,1708954.0,1676169.0,323182.0
