location,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita,year
Saint Lucia,12763.25643382353,25.86551724137931,159790.7894736842,78999.32547169812,45616.65625,7399.0,,293.187,12951.839,2021.114655172414
Saint Martin (French part),5242.61601455869,10.578448275862069,,,,,,590.533,,2021.114655172414
Saint Pierre and Miquelon,1073.1672932330828,2.9439655172413794,,,,,,,,2021.114655172414
Saint Vincent and the Grenadines,4454.719266055046,8.443485763589301,96576.35135135135,50911.459854014596,29368.355371900827,3537.1060606060605,,281.787,10727.146,2021.114655172414
Samoa,6060.6283292978205,14.161206896551723,,239560.92307692306,123267.82692307692,71792.5,,69.413,6021.557,2021.114655172414
San Marino,9202.889492753624,20.358620689655172,,35352.347107438014,14950.858974358975,17500.11111111111,38.76451162790698,556.667,56861.47,2021.114655172414
Sao Tome and Principe,3507.281690140845,5.414655172413793,2323.9,109760.60784313726,73407.02127659574,25403.928571428572,,212.841,3052.714,2021.114655172414
Saudi Arabia,521174.6094459582,715.4155172413793,19450248.981020167,30832459.681081083,23038983.714876033,4052571.725663717,46.46155348837209,15.322000000000001,49045.411,2021.114655172414
Scotland,,,,8567363.384228189,3746488.9865092747,2992078.009375,,,,2021.1780821917807
Senegal,53954.240690281564,76.65603448275863,490934.4974811083,776168.7477477477,634764.1724137932,260706.66666666666,31.481637209302328,82.328,2470.58,2021.114655172414
Serbia,1114123.3846855059,2152.8,4075626.042502952,5044614.164556962,2376952.0970464135,1184143.6545454545,38.05588837209302,80.291,14048.881,2021.122746781116
Seychelles,22283.22426470588,43.67672413793103,,119204.96,61697.10784313725,39978.05882352941,47.057730232558136,208.354,26382.287,2021.114655172414
Sierra Leone,5264.396825396825,6.689655172413793,410048.625,2162846.0178571427,1596350.0,124046.36363636363,43.56791627906977,104.7,1390.3,2021.114655172414
Singapore,629446.9982440737,1922.905172413793,,9434198.206015037,4031822.496062992,3184003.14004914,44.18006511627907,7915.730999999999,85535.383,2021.114655172414
Sint Maarten (Dutch part),5232.860572483841,9.509059534081105,,50270.442307692305,25233.46153846154,8864.1,,1209.088,36327.232,2021.114655172414
Slovakia,816116.9598906108,1606.5431034482758,25021103.098927293,3934228.013333333,1956019.1733333333,266824.13333333336,39.741320930232554,113.12800000000001,30155.152000000002,2021.114655172414
Slovenia,517543.5323020928,1147.1155172413794,1519944.6381733022,1830676.0371057515,888883.1617100372,355936.23728813557,41.373962790697675,102.619,31400.84,2021.114655172414
Solomon Islands,8720.134463276836,21.185344827586206,,251576.5,163076.05357142858,10012.736842105263,37.26987906976744,21.841,2205.923,2021.114655172414
Somalia,16354.907083716651,23.555172413793102,465117.6666666667,2015222.280487805,1631481.7160493827,,30.468772093023254,23.5,,2021.114655172414
South Africa,2370931.90793072,3501.3603448275862,11533898.280487806,24944798.105461393,15488968.841085272,3057961.6523178807,44.712,46.754,12294.876,2021.114655172414
South America,34628296.56561086,58621.2,,584768254.5767326,265006386.0519802,109782749.5143213,,,,2021.1211340206185
South Korea,7321900.729020979,26363.361206896552,24124226.941792782,83328169.44801223,35137852.626845635,19590581.896024466,41.571432558139534,527.967,35938.374,2021.122746781116
South Sudan,11216.944652908067,15.83448275862069,141394.76136363635,847279.725,811901.9,,40.52258604651163,,1569.888,2021.114655172414
Spain,6144252.767361111,11901.840103716508,41747828.21212121,54399016.985250734,27329762.102040816,16173859.829931973,46.312400000000004,93.105,34272.36,2021.114655172414
Sri Lanka,345983.6443661972,580.8487467588591,3318214.3,19785007.99742268,10152004.557291666,5769915.836065574,52.06381395348837,341.955,11669.077,2021.114655172414
Sudan,39398.06978879706,55.025,562941.0,4432576.0,3351052.5789473685,728495.9230769231,29.69274418604651,23.258,4466.507,2021.114655172414
Suriname,40439.978840846365,71.47053726169844,34599.21363636364,304263.2425531915,184852.15384615384,46021.307692307695,55.2845530726257,3.612,13767.119,2021.1156169111302
Sweden,1295212.7561837456,2334.372837370242,9622971.834951457,16280191.294642856,6222091.3125,9018658.107142856,37.39731162790698,24.718,46949.283,2021.1195184866724
Switzerland,1716718.3546931408,3785.3508620689654,8573799.357048748,11423553.126262626,4790797.422979798,2226167.141943734,35.525069767441856,214.243,57410.166,2021.114655172414
Syria,32441.775,49.50258620689655,165124.5,2698986.96,1826153.2444444445,38891.22222222222,38.24518139534884,,,2021.114655172414
Taiwan,,,2299945.302927928,37671859.45537341,15632585.079044119,15299588.567647059,30.27099534883721,,,2021.1354166666667
Tajikistan,14633.865513928915,15.332758620689654,,4824034.26984127,2390821.1774193547,2364925.0,27.69514418604651,64.281,2896.913,2021.114655172414
Tanzania,18699.56813996317,36.936206896551724,441724.5,14557131.411764706,13298997.193548387,7171363.0,15.188846511627908,64.699,2683.304,2021.114655172414
Thailand,1814008.755652174,4129.447161572052,7801672.572562358,85134654.32897197,38598877.00934579,17668203.72906404,44.39186046511628,135.132,16277.671,2021.114655172414
Timor,12349.398891966759,20.188793103448276,200291.97297297296,1181179.075,613383.875,184957.94594594595,38.08807441860465,87.176,6570.102,2021.114655172414
Togo,20624.73290793072,33.95,303819.4263363755,1950636.4375,1343582.1666666667,194386.4,44.383386046511625,143.366,1429.813,2021.114655172414
Tokelau,5.0,0.004310344827586207,,2372.125,1158.0,932.6666666666666,,,,2021.114655172414
Tonga,10001.24089068826,14.491379310344827,,108577.56410256411,56519.256410256414,35485.818181818184,46.49618604651163,150.028,5425.621,2021.114655172414
Trinidad and Tobago,76133.75665748393,163.8926406926407,374752.8700787402,1095340.8468271336,563417.816993464,123788.17441860466,53.15781395348837,266.886,28763.071,2021.114655172414
Tunisia,582585.3978201635,997.367417677643,2591685.3387096776,7118305.384384384,4182577.5075075077,832588.4304635761,50.333637209302324,74.228,10849.297,2021.114655172414
Turkey,8118412.269230769,14659.204310344827,60164796.57788945,99756300.11058451,45376754.9668325,26437087.69527897,43.31531162790698,104.914,25129.341,2021.114655172414
Turkmenistan,,0.0,,5159518.333333333,2614561.0,434817.0,,12.253,16389.023,2021.114655172414
Turks and Caicos Islands,3366.8303985171456,5.652586206896552,,52846.346153846156,24120.8,7357.5,,37.312,,2021.114655172414
Tuvalu,1088.8200692041523,2.3956896551724136,,11788.09090909091,6261.636363636364,5403.5,,373.067,3575.104,2021.114655172414
Uganda,95594.79185938946,147.10871440897324,1077752.7406832299,5301589.963768116,5133156.670103093,241185.1,54.80951627906977,213.759,1697.707,2021.114655172414
Ukraine,2757392.8945454545,4654.509482758621,7677778.519784173,11833686.861495845,6504267.337950138,265170.3582089552,43.8058976744186,77.39,7894.393000000001,2021.114655172414
United Arab Emirates,573541.2733686067,908.2519413287316,58607484.67021277,15113748.346666666,8805515.72868217,3285950.0202702703,45.10057674418605,112.442,67293.483,2021.114655172414
United Kingdom,10656695.953138815,21104.268166089965,185604641.1799486,100736230.53731343,44615350.76190476,32309665.06764706,43.899869767441864,272.898,39753.244,2021.114655172414
United States,46232664.832021,88372.85393258427,410386446.7011905,455788894.97668713,209705280.13006136,53826190.349565215,49.372,35.608,54225.446,2021.1195184866724
United States Virgin Islands,9827.623963133641,21.423509075194467,57522.651685393255,,,,,306.48,,2021.114655172414
Upper middle income,74461786.09145816,208902.3922413793,,3501823143.0721273,1469137795.9596577,590046907.5609453,,,,2021.122746781116
Uruguay,455202.62959558825,892.434857635893,2077649.4055482165,6597108.625176803,2575685.507102273,1657886.6241134752,38.554483720930236,19.751,20551.409,2021.1195184866724
Uzbekistan,146833.85372585096,216.59224137931034,,28466115.366906475,12534860.649122806,9329311.0,39.58139534883721,76.134,6253.104,2021.114655172414
Vanuatu,4422.892561983471,10.356896551724137,11723.0,133085.5,76981.36842105263,13325.181818181818,29.816790697674417,22.662,2921.909,2021.114655172414
Vatican,22.826642335766422,0.022413793103448276,,,,,,,,2021.114655172414
Venezuela,311366.01469237835,475.9698275862069,,13351340.615384616,8310643.16,478992.0,56.27979534883721,36.253,16745.022,2021.114655172414
Vietnam,3760994.4086115994,9937.039655172413,70073623.1011236,100536536.98777506,43232026.086419754,48572702.569767445,55.751023255813955,308.127,6171.884,2021.114655172414
Wales,,,,5678086.197368421,2239760.5880681816,1834627.0,,,,2021.2214891611686
Wallis and Futuna,898.8229885057472,2.954310344827586,,10291.595744680852,5028.195121951219,3314.4285714285716,,,,2021.114655172414
Western Sahara,,,3943.0,,,,,,,2022.0
World,276436261.2700604,654683.5051724138,,7933464396.842359,3616120135.9807463,1184900305.5584576,,58.045,15469.207,2021.122746781116
Yemen,7388.5197740113,10.297413793103448,333264.5,713949.775,586869.5365853659,35678.42857142857,26.846260465116277,53.508,1479.147,2021.114655172414
Zambia,179800.04612546126,295.65,1566342.113520408,2377593.368627451,614002.0485436893,28382.333333333332,30.28340465116279,22.995,3689.251,2021.114655172414
Zimbabwe,129116.00739371534,227.6956896551724,702922.6706231454,6175811.95,3457212.198076923,537036.0974576271,59.403004651162796,42.729,1899.775,2021.114655172414
