location,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita,year
Costa Rica,526619.4347031964,1046.4749134948097,1178645.780368098,5835536.010989011,2722286.5164835164,1548564.4888888889,44.153079069767436,96.079,15524.994999999999,2021.114655172414
Cote d'Ivoire,52865.75205855444,76.04137931034482,559640.0045454545,2629470.163090129,1726667.168539326,1198480.125,25.181655813953487,76.399,3601.006,2021.114655172414
Croatia,581661.9105691056,1095.190681622088,1514374.4107424961,4084383.958588957,1926270.0919003114,594785.0,34.2264,73.726,22669.797,2021.114655172414
Cuba,571419.9211009174,959.1646551724137,1525564.7468085107,31374527.32197615,9118327.378787879,7197803.469072165,49.42787906976744,110.408,,2021.1195184866724
Curacao,21219.158088235294,39.50560828300259,12647.333333333334,206805.44394618834,98026.33856502242,42493.6974789916,,362.644,,2021.114655172414
Cyprus,230516.95425434582,562.8762975778546,7851153.921122994,1037211.8722222223,479649.39130434784,267393.7916666667,46.5234511627907,127.657,32415.132000000005,2021.114655172414
Czechia,2218683.663941871,3979.262931034483,25601244.952127658,12958392.765877958,5554954.05479452,3065080.0091883615,40.25862325581395,137.176,32605.906000000003,2021.122746781116
Democratic Republic of Congo,52044.76648351648,82.54137931034482,1008171.0,1332084.1594202898,1331947.625,,38.73349767441861,35.879,808.133,2021.114655172414
Denmark,1296368.2524886879,2934.446551724138,27482511.04088785,9207224.05514706,3734623.2083333335,2176481.2496644296,35.985302325581394,136.52,46682.515,2021.1195184866724
Djibouti,10861.040552995391,13.525862068965518,292099.1304347826,196428.33333333334,177101.34545454546,,40.61886511627907,41.285,2705.406,2021.114655172414
Dominica,6101.2437442076,13.586206896551724,194216.95652173914,46294.03921568627,24897.69,3700.7894736842104,40.61938604651162,98.567,9673.367,2021.114655172414
Dominican Republic,361955.0509090909,569.6465517241379,1159906.9942418425,12742839.342857143,6186471.988235294,1815816.2885375493,46.52507906976744,222.873,14600.861,2021.114655172414
Ecuador,528104.0572207085,925.0631487889274,1261060.1564792176,20854385.589254767,10091649.051993068,4648267.551401869,50.2725023255814,66.939,10581.936,2021.114655172414
Egypt,297723.56082289806,444.6198275862069,7016298.333333333,49021460.17699115,27686059.654545456,6356771.133333334,44.118372093023254,97.999,10550.206,2021.114655172414
El Salvador,104220.21975992613,173.95258620689654,813799.7389312977,5511670.870967742,2893195.62295082,951198.6756756756,42.21842790697674,307.811,7292.458,2021.114655172414
England,,,,97488318.9515306,39238318.88107417,37387967.24712644,,,,2021.1955719557195
Equatorial Guinea,10539.95867768595,14.767241379310345,254301.7435897436,336032.125,193075.64556962025,3957.0,,45.194,22604.873,2021.114655172414
Eritrea,5740.212765957447,8.783620689655173,23693.0,,,,,44.304,1510.459,2021.114655172414
Estonia,262827.8515837104,530.5456896551724,1374486.61971831,1484757.788485607,689304.5056320401,301237.6911392405,32.671851162790695,31.032999999999998,29481.252,2021.114655172414
Eswatini,39264.34802571166,63.96465517241379,531786.96,328659.0266666667,237532.14864864864,114191.76923076923,49.532734883720934,79.492,7738.975,2021.114655172414
Ethiopia,293626.6106519743,431.04655172413794,1985332.9682539683,6936379.888888889,5994161.811538462,1025592.6666666666,45.917172093023254,104.957,1729.927,2021.114655172414
Europe,93504481.05780846,212732.72672413793,,902724992.0156438,388272376.9723225,176816151.47690386,,,,2021.122746781116
European Union,66223344.03192407,157311.3448275862,,619759816.2412546,258784705.69843185,137104487.4330413,,,,2021.122746781116
Faeroe Islands,13279.03,29.877586206896552,712331.4838709678,55561.43870967742,28410.92258064516,18337.115384615383,28.08672558139535,35.308,,2021.114655172414
Falkland Islands,558.671977507029,1.657758620689655,,2360.5,1778.5,,,,,2021.114655172414
Fiji,33760.74907749078,59.39396551724138,125473.14604810996,1169010.112244898,591909.2371134021,154805.625,55.07908837209302,49.562,8702.975,2021.114655172414
Finland,459187.8861087144,1262.2752372735117,4744452.972781065,9346973.240506329,3654944.3153153155,2630542.344262295,36.18257674418604,18.136,40585.721,2021.1162790697674
France,13537581.462686567,33223.23103448276,108493422.25684485,104547598.72229141,43300977.61021171,23825483.59508409,43.09853953488372,122.578,38605.671,2021.1195184866724
French Guiana,45755.851412944394,84.51810344827587,,,,,,,,2021.114655172414
French Polynesia,38867.25983531564,67.28879310344827,,239695.7,116521.84285714285,92687.78571428571,,77.324,,2021.114655172414
Gabon,28851.795412844036,42.225,1325475.2602739725,235256.17460317462,129139.0,2140.5625,47.99232558139535,7.859000000000001,16562.413,2021.114655172414
